input,itemName,itemQuantity,itemUnit,itemKcal,totalKcal,mealType,timeOffset
"hummus, commercial tbsp2 ln","hummus, commercial",2,tablespoon,78,78,late_night,PT0M
"milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d cup1 kcal114 lunch","milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d",1,cup,114,114,lunch,PT0M
"ate 1 cup tomatoes, grape, raw kcal41","tomatoes, grape, raw",1,cup,41,41,unknown,PT0M
"ate cup1 beans, snap, green, canned, regular pack, drained solids snack","beans, snap, green, canned, regular pack, drained solids",1,cup,27,27,snack,PT0M
"2cup broccoli, raw tomorrow","broccoli, raw",2,cup,49,49,unknown,P1D
"milk, lowfat, fluid, 1% milkfat, with added vitamin a and vitamin d 2cup 7h ago","milk, lowfat, fluid, 1% milkfat, with added vitamin a and vitamin d",2,cup,200,200,unknown,-PT7H
"ate cup2 milk, nonfat, fluid, with added vitamin a and vitamin d (fat free or skim) 156kcal 3d ago","milk, nonfat, fluid, with added vitamin a and vitamin d (fat free or skim)",2,cup,156,156,unknown,-P3D
"milk, whole, 3.25% milkfat, with added vitamin d 2cup","milk, whole, 3.25% milkfat, with added vitamin d",2,cup,275,275,unknown,PT0M
"frankfurter, beef, unheated piece3","frankfurter, beef, unheated",3,piece,458,458,unknown,PT0M
"nuts, almonds, dry roasted, with salt added 2cup 1674kcal -15h","nuts, almonds, dry roasted, with salt added",2,cup,1674,1674,unknown,-PT15H
"ate cup0.4 cheese, ricotta, whole milk snack","cheese, ricotta, whole milk",0.4,cup,203,203,snack,PT0M
"2cup kale, raw lunch +1d","kale, raw",2,cup,14,14,lunch,P1D
"egg, whole, raw, frozen, pasteurized 250 grams ln -7d","egg, whole, raw, frozen, pasteurized",250,g,375,375,late_night,-P7D
"ate 150 gr egg, white, raw, frozen, pasteurized","egg, white, raw, frozen, pasteurized",150,g,72,72,unknown,PT0M
"ate cup1 egg, white, dried snack -7d","egg, white, dried",1,cup,402,402,snack,-P7D
"2tbsp sauce, salsa, ready-to-serve cal10 lunch","sauce, salsa, ready-to-serve",2,tablespoon,10,10,lunch,PT0M
"sausage, breakfast sausage, beef, pre-cooked, unprepared 200g dinner","sausage, breakfast sausage, beef, pre-cooked, unprepared",200,g,656,656,dinner,PT0M
"1piece onion rings, breaded, par fried, frozen, prepared, heated in oven snack","onion rings, breaded, par fried, frozen, prepared, heated in oven",1,piece,58,58,snack,PT0M
"ate 200g pickles, cucumber, dill or kosher dill","pickles, cucumber, dill or kosher dill",200,g,24,24,unknown,PT0M
"2cup peanut butter, smooth style, with salt bf","peanut butter, smooth style, with salt",2,cup,3081,3081,breakfast,PT0M
"ate tbsp1 cheese, parmesan, grated","cheese, parmesan, grated",1,tablespoon,32,32,unknown,PT0M
"ate 2slice cheese, pasteurized process, american, vitamin d fortified 151kcal late night","cheese, pasteurized process, american, vitamin d fortified",2,slice,151,151,late_night,PT0M
"grapefruit juice, white, canned or bottled, unsweetened cup2 snack -13d","grapefruit juice, white, canned or bottled, unsweetened",2,cup,190,190,snack,-P13D
"peaches, yellow, raw 2cup","peaches, yellow, raw",2,cup,129,129,unknown,PT0M
"2 cups seeds, sunflower seed kernels, dry roasted, with salt added","seeds, sunflower seed kernels, dry roasted, with salt added",2,cup,1554,1554,unknown,PT0M
"250 g sausage, italian, pork, mild, cooked, pan-fried lunch 23d ago","sausage, italian, pork, mild, cooked, pan-fried",250,g,805,805,lunch,-P23D
