sessionId,sourceIndex,exercise,setNumber,reps,weightKg
1,1,snatch,1,3,40
1,2,snatch,2,3,40
1,3,snatch,3,2,50
1,4,snatch,4,4,60
1,5,snatch,5,4,60
1,6,snatch,6,4,60
1,7,snatch,7,4,60
1,8,snatch,8,1,70
1,9,clean,1,4,50
1,10,clean,2,2,60
1,11,clean,3,2,70
1,12,clean,4,2,80
1,13,clean,5,4,85
1,14,clean,6,4,85
1,15,clean,7,4,85
1,16,clean,8,4,90
1,17,front_squat,1,4,50
1,18,front_squat,2,2,70
1,19,front_squat,3,2,80
1,20,front_squat,4,2,90
1,21,front_squat,5,4,95
1,22,front_squat,6,4,95
1,23,front_squat,7,3,95
1,24,front_squat,8,4,95
1,25,ohp,1,7,30
1,26,ohp,2,5,40
1,27,ohp,3,5,40
1,28,ohp,4,5,40
1,29,ohp,5,5,40
1,30,ohp,6,5,40
2,31,snatch,1,3,40
2,32,snatch,2,3,40
2,33,snatch,3,2,50
2,34,snatch,4,4,55
2,35,snatch,5,4,55
2,36,snatch,6,4,55
2,37,snatch,7,4,55
2,38,snatch_pull,1,3,75
2,39,snatch_pull,2,3,75
2,40,snatch_pull,3,4,75
2,41,clean,1,4,50
2,42,clean,2,2,60
2,43,clean,3,2,70
2,44,clean,4,2,80
2,45,clean,5,4,80
2,46,clean,6,4,80
2,47,clean,7,4,80
2,48,front_squat,1,4,50
2,49,front_squat,2,2,70
2,50,front_squat,3,2,80
2,51,front_squat,4,4,90
2,52,front_squat,5,4,90
2,53,front_squat,6,4,90
2,54,front_squat,7,4,90
2,55,ohp,1,7,30
2,56,ohp,2,5,40
2,57,ohp,3,5,40
2,58,ohp,4,5,40
2,59,ohp,5,5,40
3,60,snatch,1,3,40
3,61,snatch,2,3,40
3,62,snatch,3,2,50
3,63,snatch,4,4,60
3,64,snatch,5,4,60
3,65,snatch,6,4,60
3,66,snatch,7,4,60
3,67,clean,1,4,50
3,68,clean,2,2,60
3,69,clean,3,2,70
3,70,clean,4,2,80
3,71,clean,5,4,85
3,72,clean,6,4,85
3,73,clean,7,4,90
3,74,clean,8,4,90
3,75,front_squat,1,4,50
3,76,front_squat,2,2,70
3,77,front_squat,3,3,80
3,78,front_squat,4,2,90
3,79,front_squat,5,4,95
3,80,front_squat,6,4,95
3,81,front_squat,7,3,95
3,82,front_squat,8,4,95
4,83,snatch,1,3,40
4,84,snatch,2,3,40
4,85,snatch,3,2,50
4,86,snatch,4,2,60
4,87,snatch,5,3,65
4,88,snatch,6,3,65
4,89,snatch,7,3,65
4,90,clean,1,4,50
