previousInput,input,exercise,setNumber,reps,weightKg
,snatch #1 40 3reps,snatch,1,3,40
snatch #1 40 3reps,snatch set2 40x3,snatch,2,3,40
snatch set2 40x3,snatch #3 50kgx2,snatch,3,2,50
snatch #3 50kgx2,snatch s4 50 +10 r4,snatch,4,4,60
snatch s4 50 +10 r4,60x4,snatch,5,4,60
snatch s5 60kgx4,snatch set6 60kgx4,snatch,6,4,60
snatch set6 60kgx4,60x4,snatch,7,4,60
snatch set7 60 4r,+10 x1,snatch,8,1,70
snatch set8 60kg +10kg x1,clean s1 50x4,clean,1,4,50
clean s1 50x4,clean #2 50+10 r2,clean,2,2,60
clean #2 50+10 r2,clean s3 60+10x2,clean,3,2,70
clean s3 60+10x2,clean s4 80kgx2,clean,4,2,80
clean s4 80kgx2,+5 x4,clean,5,4,85
clean set5 80+5x4,85x4,clean,6,4,85
clean #6 85 r4,clean set7 85 4reps,clean,7,4,85
clean set7 85 4reps,clean #8 90x4,clean,8,4,90
,fs set1 50 4reps,front_squat,1,4,50
fs set1 50 4reps,#2 70kgx2,front_squat,2,2,70
fs #2 70kgx2,fs #3 80kgx2,front_squat,3,2,80
fs #3 80kgx2,fs #4 90x2,front_squat,4,2,90
fs #4 90x2,+5 x4,front_squat,5,4,95
fs #5 95 r4,95x4,front_squat,6,4,95
fs set6 95x4,fs s7 95 3r,front_squat,7,3,95
fs s7 95 3r,95x4,front_squat,8,4,95
,press s1 30kgx7,ohp,1,7,30
press s1 30kgx7,+10 x5,ohp,2,5,40
ohp s2 40 5reps,ohp set3 40kgx5,ohp,3,5,40
ohp set3 40kgx5,40x5,ohp,4,5,40
ohp #4 40kgx5,ohp #5 40x5,ohp,5,5,40
ohp #5 40x5,40x5,ohp,6,5,40
,snatch s1 40kgx3,snatch,1,3,40
snatch s1 40kgx3,40x3,snatch,2,3,40
snatch set2 40 3r,snatch s3 50 2,snatch,3,2,50
snatch s3 50 2,snatch set4 50+5x4,snatch,4,4,55
snatch set4 50+5x4,55x4,snatch,5,4,55
snatch set5 55 4r,55x4,snatch,6,4,55
snatch #6 55x4,snatch #7 55 r4,snatch,7,4,55
,spull #1 75kgx3,snatch_pull,1,3,75
spull #1 75kgx3,s2 75x3,snatch_pull,2,3,75
spull s2 75x3,#3 75x4,snatch_pull,3,4,75
,clean s1 50kgx4,clean,1,4,50
clean s1 50kgx4,+10 x2,clean,2,2,60
clean #2 50+10x2,+10 x2,clean,3,2,70
clean #3 60kg +10kg x2,+10 x2,clean,4,2,80
clean set4 80 2reps,80x4,clean,5,4,80
clean set5 80x4,clean set6 80 4reps,clean,6,4,80
clean set6 80 4reps,80x4,clean,7,4,80
clean s7 80 r4,fs #1 50kgx4,front_squat,1,4,50
fs #1 50kgx4,+20 x2,front_squat,2,2,70
fs set2 70x2,+10 x2,front_squat,3,2,80
fs set3 70+10x2,#4 80+10x4,front_squat,4,4,90
fs #4 80+10x4,set5 90 4,front_squat,5,4,90
fs set5 90 4,set6 90 r4,front_squat,6,4,90
fs set6 90 r4,90x4,front_squat,7,4,90
,press set1 30 7reps,ohp,1,7,30
press set1 30 7reps,s2 30+10 5,ohp,2,5,40
ohp s2 30+10 5,#3 40kgx5,ohp,3,5,40
press #3 40kgx5,ohp set4 40x5,ohp,4,5,40
ohp set4 40x5,40x5,ohp,5,5,40
,snatch #1 40 3,snatch,1,3,40
snatch #1 40 3,40x3,snatch,2,3,40
snatch set2 40 3reps,snatch set3 50 2r,snatch,3,2,50
snatch set3 50 2r,snatch #4 50+10x4,snatch,4,4,60
