source,media_type,title,rating,favorite
MovieLens ml-latest-small,movie,"Simple Plan, A",8,False
MovieLens ml-latest-small,movie,Deep Impact,6,False
MovieLens ml-latest-small,movie,Mister Roberts,6,False
MovieLens ml-latest-small,movie,Beauty and the Beast (1991),10,False
MovieLens ml-latest-small,movie,"Italian Job, The (2003)",4,False
MovieLens ml-latest-small,movie,Elf,5,False
MovieLens ml-latest-small,movie,Braveheart,10,False
MovieLens ml-latest-small,movie,Rat Race,6,False
MovieLens ml-latest-small,movie,Austin Powers in Goldmember,5,False
MovieLens ml-latest-small,movie,"Lock, Stock & Two Smoking Barrels",8,False
MovieLens ml-latest-small,movie,French Kiss,8,True
MovieLens ml-latest-small,movie,"Nightmare on Elm Street, A (1984)",7,False
MovieLens ml-latest-small,movie,"Quick and the Dead, The",8,False
MovieLens ml-latest-small,movie,Captain Fantastic,9,True
MovieLens ml-latest-small,movie,Powder,8,False
MovieLens ml-latest-small,movie,Seven (a.k.a. Se7en),6,False
MovieLens ml-latest-small,movie,Kill Bill: Vol. 1,8,False
MovieLens ml-latest-small,movie,Man of Steel,8,True
MovieLens ml-latest-small,movie,Cool Hand Luke,8,False
MovieLens ml-latest-small,movie,Blade Runner,8,False
MovieLens ml-latest-small,movie,Singin' in the Rain,8,False
MovieLens ml-latest-small,movie,Captain America: The First Avenger,7,False
MovieLens ml-latest-small,movie,Frailty,8,False
MovieLens ml-latest-small,movie,V for Vendetta,8,False
MovieLens ml-latest-small,movie,Puss in Boots (Nagagutsu o haita neko),8,False
MovieLens ml-latest-small,movie,"Bodyguard, The",4,False
MovieLens ml-latest-small,movie,Star Trek: Generations,6,False
MovieLens ml-latest-small,movie,Pawn Sacrifice,5,False
MovieLens ml-latest-small,movie,Austin Powers: International Man of Mystery,6,False
MovieLens ml-latest-small,movie,"Wild Bunch, The",10,False
MovieLens ml-latest-small,movie,Spider-Man,9,False
MovieLens ml-latest-small,movie,Let the Right One In (Låt den rätte komma in),7,False
MovieLens ml-latest-small,movie,Groundhog Day,5,True
MovieLens ml-latest-small,movie,A Bad Moms Christmas,7,False
MovieLens ml-latest-small,movie,Sudden Death,6,False
MovieLens ml-latest-small,movie,Burn After Reading,8,True
MovieLens ml-latest-small,movie,Henry V,9,False
MovieLens ml-latest-small,movie,Elf,6,False
MovieLens ml-latest-small,movie,Jacob's Ladder,2,False
MovieLens ml-latest-small,movie,Horrors of Spider Island (Ein Toter Hing im Netz),1,True
MovieLens ml-latest-small,movie,Shark Tale,3,True
MovieLens ml-latest-small,movie,"Walk to Remember, A",6,False
MovieLens ml-latest-small,movie,Old School,3,False
MovieLens ml-latest-small,movie,Slumdog Millionaire,8,False
MovieLens ml-latest-small,movie,"Game, The",8,False
MovieLens ml-latest-small,movie,"Secret of Roan Inish, The",8,False
MovieLens ml-latest-small,movie,Misery,8,False
MovieLens ml-latest-small,movie,Star Wars: Episode V - The Empire Strikes Back,10,False
MovieLens ml-latest-small,movie,Open Range,7,False
MovieLens ml-latest-small,movie,"Clockwork Orange, A",10,False
MovieLens ml-latest-small,movie,Brazil,7,False
MovieLens ml-latest-small,movie,Get Shorty,4,False
MovieLens ml-latest-small,movie,Stealing Harvard,4,True
MovieLens ml-latest-small,movie,Harry Potter and the Chamber of Secrets,9,False
MovieLens ml-latest-small,movie,Pleasantville,8,False
MovieLens ml-latest-small,movie,Quiz Show,8,False
MovieLens ml-latest-small,movie,"Rudolph, the Red-Nosed Reindeer",8,False
MovieLens ml-latest-small,movie,"Lion in Winter, The",10,False
MovieLens ml-latest-small,movie,Oz the Great and Powerful,8,False
MovieLens ml-latest-small,movie,Star Wars: Episode IV - A New Hope,8,False
MovieLens ml-latest-small,movie,"Godfather, The",10,False
MovieLens ml-latest-small,movie,Batman Returns,5,False
MovieLens ml-latest-small,movie,Severance,6,False
MovieLens ml-latest-small,movie,"Lion King, The",4,False
MovieLens ml-latest-small,movie,Galaxy Quest,8,False
MovieLens ml-latest-small,movie,40 Days and 40 Nights,8,False
MovieLens ml-latest-small,movie,"Lion King, The",8,False
MovieLens ml-latest-small,movie,Fantastic Four: Rise of the Silver Surfer,6,False
MovieLens ml-latest-small,movie,"Mummy Returns, The",7,False
MovieLens ml-latest-small,movie,Once Were Warriors,8,False
MovieLens ml-latest-small,movie,Die Hard 2,5,False
MovieLens ml-latest-small,movie,Escape from New York,8,False
MovieLens ml-latest-small,movie,2010: The Year We Make Contact,9,False
MovieLens ml-latest-small,movie,Lifeforce,4,False
MovieLens ml-latest-small,movie,Almost Famous,9,False
MovieLens ml-latest-small,movie,"Hangover, The",7,False
MovieLens ml-latest-small,movie,"Curious Case of Benjamin Button, The",7,False
MovieLens ml-latest-small,movie,Reality Bites,2,False
MovieLens ml-latest-small,movie,Equilibrium,8,False
MovieLens ml-latest-small,movie,Deadfall,3,False
MovieLens ml-latest-small,movie,The Amazing Spider-Man 2,4,False
MovieLens ml-latest-small,movie,Austin Powers: The Spy Who Shagged Me,8,False
MovieLens ml-latest-small,movie,Amadeus,10,False
MovieLens ml-latest-small,movie,Shaft (2000),4,False
MovieLens ml-latest-small,movie,Lake Placid,8,True
MovieLens ml-latest-small,movie,Walk Hard: The Dewey Cox Story,6,True
MovieLens ml-latest-small,movie,"Dark Crystal, The",6,False
MovieLens ml-latest-small,movie,Andre,6,False
MovieLens ml-latest-small,movie,Ocean's Eleven,8,False
MovieLens ml-latest-small,movie,As Good as It Gets,6,True
MovieLens ml-latest-small,movie,Star Trek II: The Wrath of Khan,8,False
MovieLens ml-latest-small,movie,Man Bites Dog (C'est arrivé près de chez vous),7,False
MovieLens ml-latest-small,movie,Thor,9,False
MovieLens ml-latest-small,movie,Another Thin Man,7,False
MovieLens ml-latest-small,movie,50/50,7,True
MovieLens ml-latest-small,movie,"Slums of Beverly Hills, The",8,True
MovieLens ml-latest-small,movie,Guardians of the Galaxy,7,False
MovieLens ml-latest-small,movie,Snatch,7,True
MovieLens ml-latest-small,movie,"Crouching Tiger, Hidden Dragon (Wo hu cang long)",10,True
MovieLens ml-latest-small,movie,Thirteen Ghosts (a.k.a. Thir13en Ghosts),4,False
MovieLens ml-latest-small,movie,Milagro Beanfield War,8,False
MovieLens ml-latest-small,movie,Life Is Beautiful (La Vita è bella),10,False
MovieLens ml-latest-small,movie,Dirty Dancing,8,False
MovieLens ml-latest-small,movie,Face/Off,5,False
MovieLens ml-latest-small,movie,Forrest Gump,7,False
MovieLens ml-latest-small,movie,"Pianist, The",9,False
MovieLens ml-latest-small,movie,Harry Potter and the Half-Blood Prince,9,False
MovieLens ml-latest-small,movie,Moulin Rouge,8,False
MovieLens ml-latest-small,movie,Mission to Mars,7,False
MovieLens ml-latest-small,movie,Thor: The Dark World,7,False
MovieLens ml-latest-small,movie,Jay and Silent Bob Strike Back,9,False
MovieLens ml-latest-small,movie,Forrest Gump,6,True
MovieLens ml-latest-small,movie,Catch a Fire,8,False
MovieLens ml-latest-small,movie,Office Space,4,False
MovieLens ml-latest-small,movie,"Bodyguard, The",7,False
MovieLens ml-latest-small,movie,Indiana Jones and the Temple of Doom,4,False
MovieLens ml-latest-small,movie,Apocalypse Now,7,True
MovieLens ml-latest-small,movie,Harry Potter and the Deathly Hallows: Part 1,10,False
MovieLens ml-latest-small,movie,"Purple Rose of Cairo, The",10,False
MovieLens ml-latest-small,movie,Up,6,False
MovieLens ml-latest-small,movie,Police Academy 6: City Under Siege,1,False
MovieLens ml-latest-small,movie,"Lives of Others, The (Das leben der Anderen)",10,True
MovieLens ml-latest-small,movie,Alien: Resurrection,2,False
MovieLens ml-latest-small,movie,Stardust,8,False
MovieLens ml-latest-small,movie,Sweet Home Alabama,7,False
MovieLens ml-latest-small,movie,Pride and Prejudice (1995),10,False
MovieLens ml-latest-small,movie,Ocean's Twelve,4,True
MovieLens ml-latest-small,movie,Rudy,6,False
MovieLens ml-latest-small,movie,Looper,7,False
MovieLens ml-latest-small,movie,Monty Python and the Holy Grail,8,False
MovieLens ml-latest-small,movie,Mars Attacks!,6,False
MovieLens ml-latest-small,movie,Goldfinger,10,False
