input,mediaType,title,rating,favorite,timeOffset
"watched simple plan, a 4 stars 2 hours ago",movie,"Simple Plan, A",8,False,-PT2H
saw deep impact 3 stars,movie,Deep Impact,6,False,PT0M
watched mister roberts 3 stars -15h,movie,Mister Roberts,6,False,-PT15H
watched beauty and the beast (1991) 5 stars,movie,Beauty and the Beast (1991),10,False,PT0M
"movie italian job, the (2003) 4/10",movie,"Italian Job, The (2003)",4,False,PT0M
watched elf 2.5 stars,movie,Elf,5,False,PT0M
movie braveheart 5 stars,movie,Braveheart,10,False,PT0M
watched rat race 3 stars -25d,movie,Rat Race,6,False,-P25D
film austin powers in goldmember 2.5 stars -2h,movie,Austin Powers in Goldmember,5,False,-PT2H
"movie lock, stock & two smoking barrels 4 stars -5d",movie,"Lock, Stock & Two Smoking Barrels",8,False,-P5D
movie french kiss 8 favorite,movie,French Kiss,8,True,PT0M
"movie nightmare on elm street, a (1984) 7/10",movie,"Nightmare on Elm Street, A (1984)",7,False,PT0M
"film quick and the dead, the 4 stars",movie,"Quick and the Dead, The",8,False,PT0M
saw captain fantastic 4.5 stars heart,movie,Captain Fantastic,9,True,PT0M
film powder 4 stars,movie,Powder,8,False,PT0M
watched seven (a.k.a. se7en) 6/10,movie,Seven (a.k.a. Se7en),6,False,PT0M
film kill bill: vol. 1 8,movie,Kill Bill: Vol. 1,8,False,PT0M
film man of steel 4 stars heart,movie,Man of Steel,8,True,PT0M
film cool hand luke 8,movie,Cool Hand Luke,8,False,PT0M
film blade runner 4 stars -21h,movie,Blade Runner,8,False,-PT21H
watched singin' in the rain 4 stars 19 hours ago,movie,Singin' in the Rain,8,False,-PT19H
movie captain america: the first avenger 3.5 stars 11h ago,movie,Captain America: The First Avenger,7,False,-PT11H
film frailty 8,movie,Frailty,8,False,PT0M
watched v for vendetta 4 stars 19 hours ago,movie,V for Vendetta,8,False,-PT19H
watched puss in boots (nagagutsu o haita neko) 8/10,movie,Puss in Boots (Nagagutsu o haita neko),8,False,PT0M
"movie bodyguard, the 2 stars",movie,"Bodyguard, The",4,False,PT0M
saw star trek: generations 6/10 -26d,movie,Star Trek: Generations,6,False,-P26D
saw pawn sacrifice 5/10 -25d,movie,Pawn Sacrifice,5,False,-P25D
watched austin powers: international man of mystery 3 stars,movie,Austin Powers: International Man of Mystery,6,False,PT0M
"watched wild bunch, the 10 21 days ago",movie,"Wild Bunch, The",10,False,-P21D
watched spider-man 9/10,movie,Spider-Man,9,False,PT0M
saw let the right one in (låt den rätte komma in) 7,movie,Let the Right One In (Låt den rätte komma in),7,False,PT0M
film groundhog day 2.5 stars loved,movie,Groundhog Day,5,True,PT0M
movie a bad moms christmas 3.5 stars,movie,A Bad Moms Christmas,7,False,PT0M
watched sudden death 3 stars,movie,Sudden Death,6,False,PT0M
saw burn after reading 8/10 fav -8h,movie,Burn After Reading,8,True,-PT8H
movie henry v 4.5 stars,movie,Henry V,9,False,PT0M
watched elf 6/10,movie,Elf,6,False,PT0M
saw jacob's ladder 2/10 16h ago,movie,Jacob's Ladder,2,False,-PT16H
movie horrors of spider island (ein toter hing im netz) 0.5 stars heart 5h ago,movie,Horrors of Spider Island (Ein Toter Hing im Netz),1,True,-PT5H
saw shark tale 1.5 stars heart,movie,Shark Tale,3,True,PT0M
"movie walk to remember, a 3 stars",movie,"Walk to Remember, A",6,False,PT0M
saw old school 3 11d ago,movie,Old School,3,False,-P11D
film slumdog millionaire 8/10 -10d,movie,Slumdog Millionaire,8,False,-P10D
"saw game, the 4 stars 7 hours ago",movie,"Game, The",8,False,-PT7H
"saw secret of roan inish, the 4 stars",movie,"Secret of Roan Inish, The",8,False,PT0M
watched misery 4 stars,movie,Misery,8,False,PT0M
movie star wars: episode v - the empire strikes back 10/10,movie,Star Wars: Episode V - The Empire Strikes Back,10,False,PT0M
film open range 3.5 stars -14h,movie,Open Range,7,False,-PT14H
"watched clockwork orange, a 10/10",movie,"Clockwork Orange, A",10,False,PT0M
watched brazil 3.5 stars,movie,Brazil,7,False,PT0M
saw get shorty 2 stars,movie,Get Shorty,4,False,PT0M
film stealing harvard 2 stars loved,movie,Stealing Harvard,4,True,PT0M
film harry potter and the chamber of secrets 9/10,movie,Harry Potter and the Chamber of Secrets,9,False,PT0M
film pleasantville 4 stars,movie,Pleasantville,8,False,PT0M
movie quiz show 8,movie,Quiz Show,8,False,PT0M
"watched rudolph, the red-nosed reindeer 8",movie,"Rudolph, the Red-Nosed Reindeer",8,False,PT0M
"movie lion in winter, the 10",movie,"Lion in Winter, The",10,False,PT0M
saw oz the great and powerful 4 stars,movie,Oz the Great and Powerful,8,False,PT0M
watched star wars: episode iv - a new hope 4 stars -11h,movie,Star Wars: Episode IV - A New Hope,8,False,-PT11H
"film godfather, the 10/10",movie,"Godfather, The",10,False,PT0M
saw batman returns 5,movie,Batman Returns,5,False,PT0M
film severance 3 stars,movie,Severance,6,False,PT0M
"saw lion king, the 4 13d ago",movie,"Lion King, The",4,False,-P13D
watched galaxy quest 8,movie,Galaxy Quest,8,False,PT0M
film 40 days and 40 nights 8/10 30 days ago,movie,40 Days and 40 Nights,8,False,-P30D
"film lion king, the 8/10 23h ago",movie,"Lion King, The",8,False,-PT23H
film fantastic four: rise of the silver surfer 3 stars -4h,movie,Fantastic Four: Rise of the Silver Surfer,6,False,-PT4H
"film mummy returns, the 3.5 stars",movie,"Mummy Returns, The",7,False,PT0M
film once were warriors 4 stars,movie,Once Were Warriors,8,False,PT0M
watched die hard 2 5,movie,Die Hard 2,5,False,PT0M
film escape from new york 4 stars,movie,Escape from New York,8,False,PT0M
movie 2010: the year we make contact 4.5 stars,movie,2010: The Year We Make Contact,9,False,PT0M
film lifeforce 4 7d ago,movie,Lifeforce,4,False,-P7D
movie almost famous 9 -13h,movie,Almost Famous,9,False,-PT13H
"film hangover, the 7",movie,"Hangover, The",7,False,PT0M
"movie curious case of benjamin button, the 7/10 19h ago",movie,"Curious Case of Benjamin Button, The",7,False,-PT19H
movie reality bites 2/10,movie,Reality Bites,2,False,PT0M
saw equilibrium 8,movie,Equilibrium,8,False,PT0M
watched deadfall 3/10,movie,Deadfall,3,False,PT0M
film the amazing spider-man 2 2 stars,movie,The Amazing Spider-Man 2,4,False,PT0M
movie austin powers: the spy who shagged me 4 stars 7d ago,movie,Austin Powers: The Spy Who Shagged Me,8,False,-P7D
saw amadeus 10 13 days ago,movie,Amadeus,10,False,-P13D
watched shaft (2000) 4,movie,Shaft (2000),4,False,PT0M
watched lake placid 4 stars heart,movie,Lake Placid,8,True,PT0M
movie walk hard: the dewey cox story 3 stars favorite,movie,Walk Hard: The Dewey Cox Story,6,True,PT0M
"saw dark crystal, the 3 stars",movie,"Dark Crystal, The",6,False,PT0M
saw andre 6,movie,Andre,6,False,PT0M
film ocean's eleven 8/10,movie,Ocean's Eleven,8,False,PT0M
watched as good as it gets 3 stars heart,movie,As Good as It Gets,6,True,PT0M
film star trek ii: the wrath of khan 8/10 5d ago,movie,Star Trek II: The Wrath of Khan,8,False,-P5D
film man bites dog (c'est arrivé près de chez vous) 3.5 stars -23d,movie,Man Bites Dog (C'est arrivé près de chez vous),7,False,-P23D
movie thor 4.5 stars 19h ago,movie,Thor,9,False,-PT19H
saw another thin man 7/10 -11h,movie,Another Thin Man,7,False,-PT11H
saw 50/50 7 favorite,movie,50/50,7,True,PT0M
"saw slums of beverly hills, the 4 stars favourite",movie,"Slums of Beverly Hills, The",8,True,PT0M
saw guardians of the galaxy 3.5 stars,movie,Guardians of the Galaxy,7,False,PT0M
movie snatch 3.5 stars loved 12 hours ago,movie,Snatch,7,True,-PT12H
"film crouching tiger, hidden dragon (wo hu cang long) 5 stars fav -8d",movie,"Crouching Tiger, Hidden Dragon (Wo hu cang long)",10,True,-P8D
saw thirteen ghosts (a.k.a. thir13en ghosts) 4,movie,Thirteen Ghosts (a.k.a. Thir13en Ghosts),4,False,PT0M
saw milagro beanfield war 8/10 30 days ago,movie,Milagro Beanfield War,8,False,-P30D
watched life is beautiful (la vita è bella) 10,movie,Life Is Beautiful (La Vita è bella),10,False,PT0M
watched dirty dancing 8/10 22 hours ago,movie,Dirty Dancing,8,False,-PT22H
movie face/off 5,movie,Face/Off,5,False,PT0M
movie forrest gump 3.5 stars,movie,Forrest Gump,7,False,PT0M
"saw pianist, the 9",movie,"Pianist, The",9,False,PT0M
movie harry potter and the half-blood prince 4.5 stars,movie,Harry Potter and the Half-Blood Prince,9,False,PT0M
watched moulin rouge 4 stars,movie,Moulin Rouge,8,False,PT0M
watched mission to mars 3.5 stars 22h ago,movie,Mission to Mars,7,False,-PT22H
saw thor: the dark world 7/10 -26d,movie,Thor: The Dark World,7,False,-P26D
film jay and silent bob strike back 9/10,movie,Jay and Silent Bob Strike Back,9,False,PT0M
film forrest gump 6 favourite -25d,movie,Forrest Gump,6,True,-P25D
watched catch a fire 8/10 21 days ago,movie,Catch a Fire,8,False,-P21D
film office space 2 stars,movie,Office Space,4,False,PT0M
"watched bodyguard, the 3.5 stars -1h",movie,"Bodyguard, The",7,False,-PT1H
movie indiana jones and the temple of doom 4,movie,Indiana Jones and the Temple of Doom,4,False,PT0M
movie apocalypse now 3.5 stars fav -4h,movie,Apocalypse Now,7,True,-PT4H
movie harry potter and the deathly hallows: part 1 10,movie,Harry Potter and the Deathly Hallows: Part 1,10,False,PT0M
"movie purple rose of cairo, the 10/10",movie,"Purple Rose of Cairo, The",10,False,PT0M
watched up 6/10,movie,Up,6,False,PT0M
watched police academy 6: city under siege 0.5 stars,movie,Police Academy 6: City Under Siege,1,False,PT0M
"film lives of others, the (das leben der anderen) 10 heart -17h",movie,"Lives of Others, The (Das leben der Anderen)",10,True,-PT17H
movie alien: resurrection 2,movie,Alien: Resurrection,2,False,PT0M
movie stardust 4 stars,movie,Stardust,8,False,PT0M
film sweet home alabama 3.5 stars,movie,Sweet Home Alabama,7,False,PT0M
film pride and prejudice (1995) 5 stars,movie,Pride and Prejudice (1995),10,False,PT0M
film ocean's twelve 2 stars fav,movie,Ocean's Twelve,4,True,PT0M
film rudy 6/10,movie,Rudy,6,False,PT0M
movie looper 7/10 -4d,movie,Looper,7,False,-P4D
film monty python and the holy grail 4 stars,movie,Monty Python and the Holy Grail,8,False,PT0M
movie mars attacks! 6,movie,Mars Attacks!,6,False,PT0M
saw goldfinger 5 stars,movie,Goldfinger,10,False,PT0M
"saw matrix, the 4 stars 9d ago",movie,"Matrix, The",8,False,-P9D
saw diamonds are forever 3 stars,movie,Diamonds Are Forever,6,False,PT0M
movie star wars: episode i - the phantom menace 4 stars favorite,movie,Star Wars: Episode I - The Phantom Menace,8,True,PT0M
"saw texas chainsaw massacre, the (1974) 6/10 22 hours ago",movie,"Texas Chainsaw Massacre, The (1974)",6,False,-PT22H
film men in black ii (a.k.a. miib) (a.k.a. mib 2) 4,movie,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2),4,False,PT0M
saw prince of persia: the sands of time 7/10,movie,Prince of Persia: The Sands of Time,7,False,PT0M
"movie tale of two sisters, a (janghwa, hongryeon) 4.5 stars 7 hours ago",movie,"Tale of Two Sisters, A (Janghwa, Hongryeon)",9,False,-PT7H
movie charlie's angels: full throttle 3.5 stars fav,movie,Charlie's Angels: Full Throttle,7,True,PT0M
movie mr. magoo 3 stars 22 days ago,movie,Mr. Magoo,6,False,-P22D
watched abraham lincoln: vampire hunter 6,movie,Abraham Lincoln: Vampire Hunter,6,False,PT0M
movie full metal jacket 4 stars heart,movie,Full Metal Jacket,8,True,PT0M
film high school high 1/10,movie,High School High,1,False,PT0M
film tales from the crypt presents: demon knight 4/10 favorite,movie,Tales from the Crypt Presents: Demon Knight,4,True,PT0M
watched jaws 2 1 star heart -15d,movie,Jaws 2,2,True,-P15D
movie rocky balboa 2 stars 13 hours ago,movie,Rocky Balboa,4,False,-PT13H
"saw bank job, the 3.5 stars",movie,"Bank Job, The",7,False,PT0M
movie lethal weapon 4 stars 11 hours ago,movie,Lethal Weapon,8,False,-PT11H
saw short circuit 8/10,movie,Short Circuit,8,False,PT0M
movie mo' money 6/10 loved 3 days ago,movie,Mo' Money,6,True,-P3D
film solyaris 4 stars,movie,Solyaris,8,False,PT0M
movie finding nemo 4 stars,movie,Finding Nemo,8,False,PT0M
"saw mask, the 3 stars loved",movie,"Mask, The",6,True,PT0M
film down with love 3 stars loved,movie,Down with Love,6,True,PT0M
"saw great gatsby, the (2013) 3.5 stars",movie,"Great Gatsby, The (2013)",7,False,PT0M
saw rocknrolla 7,movie,RocknRolla,7,False,PT0M
watched catch me if you can 7,movie,Catch Me If You Can,7,False,PT0M
watched american psycho 8/10 26 days ago,movie,American Psycho,8,False,-P26D
movie fatal attraction 4 stars favorite 20 days ago,movie,Fatal Attraction,8,True,-P20D
"watched jewel of the nile, the 4",movie,"Jewel of the Nile, The",4,False,PT0M
"movie hustler, the 10",movie,"Hustler, The",10,False,PT0M
film bedknobs and broomsticks 3 stars fav,movie,Bedknobs and Broomsticks,6,True,PT0M
film star wars: episode vi - return of the jedi 7/10,movie,Star Wars: Episode VI - Return of the Jedi,7,False,PT0M
saw dracula (bram stoker's dracula) 3.5 stars,movie,Dracula (Bram Stoker's Dracula),7,False,PT0M
saw fight club 10 favourite,movie,Fight Club,10,True,PT0M
"movie world is not enough, the 1.5 stars",movie,"World Is Not Enough, The",3,False,PT0M
"movie usual suspects, the 10/10 favorite 14 hours ago",movie,"Usual Suspects, The",10,True,-PT14H
saw casino 4 stars,movie,Casino,8,False,PT0M
"saw bridge at remagen, the 8 favorite",movie,"Bridge at Remagen, The",8,True,PT0M
saw mickey blue eyes 4 20h ago,movie,Mickey Blue Eyes,4,False,-PT20H
"watched bourne ultimatum, the 4 stars heart",movie,"Bourne Ultimatum, The",8,True,PT0M
watched little nicky 1 star,movie,Little Nicky,2,False,PT0M
movie catch me if you can 8/10,movie,Catch Me If You Can,8,False,PT0M
"film big lebowski, the 6",movie,"Big Lebowski, The",6,False,PT0M
saw fright night part ii 6/10,movie,Fright Night Part II,6,False,PT0M
movie scarface (1983) 9/10,movie,Scarface (1983),9,False,PT0M
watched dave 3 stars,movie,Dave,6,False,PT0M
film gremlins 3 stars favorite,movie,Gremlins,6,True,PT0M
film they call me bruce? (a.k.a. a fistful of chopsticks) 6/10 13h ago,movie,They Call Me Bruce? (a.k.a. A Fistful of Chopsticks),6,False,-PT13H
movie bound 3 stars 18 hours ago,movie,Bound,6,False,-PT18H
saw maze runner: scorch trials 7,movie,Maze Runner: Scorch Trials,7,False,PT0M
"saw lord of the rings: the return of the king, the 5 stars -27d",movie,"Lord of the Rings: The Return of the King, The",10,False,-P27D
watched creepshow 4 stars heart,movie,Creepshow,8,True,PT0M
"movie shining, the 5 stars",movie,"Shining, The",10,False,PT0M
saw scream 2 6/10 24d ago,movie,Scream 2,6,False,-P24D
"saw secret of nimh, the 3 stars",movie,"Secret of NIMH, The",6,False,PT0M
film cast away 6,movie,Cast Away,6,False,PT0M
watched godzilla (1998) 1.5 stars 1h ago,movie,Godzilla (1998),3,False,-PT1H
watched strangers on a train 4 stars -10h,movie,Strangers on a Train,8,False,-PT10H
movie captain america: the winter soldier 2.5 stars 18 days ago,movie,Captain America: The Winter Soldier,5,False,-P18D
watched man on fire 4/10,movie,Man on Fire,4,False,PT0M
saw while you were fighting: a thor mockumentary 4 stars -10d,movie,While You Were Fighting: A Thor Mockumentary,8,False,-P10D
movie sixteen candles 8/10 -3d,movie,Sixteen Candles,8,False,-P3D
film courage under fire 7,movie,Courage Under Fire,7,False,PT0M
"movie karate kid, part iii, the 5/10 favourite",movie,"Karate Kid, Part III, The",5,True,PT0M
"saw last boy scout, the 7 loved 27 days ago",movie,"Last Boy Scout, The",7,True,-P27D
"film patriot, the (2000) 3 stars",movie,"Patriot, The (2000)",6,False,PT0M
film brazil 10/10 loved,movie,Brazil,10,True,PT0M
"saw very long engagement, a (un long dimanche de fiançailles) 6",movie,"Very Long Engagement, A (Un long dimanche de fiançailles)",6,False,PT0M
saw doctor strange 4/10,movie,Doctor Strange,4,False,PT0M
"saw negotiator, the 3 stars -18d",movie,"Negotiator, The",6,False,-P18D
"movie others, the 3.5 stars -17h",movie,"Others, The",7,False,-PT17H
saw chinatown 4.5 stars loved,movie,Chinatown,9,True,PT0M
film mortal kombat 8,movie,Mortal Kombat,8,False,PT0M
"watched score, the 2 stars",movie,"Score, The",4,False,PT0M
film star trek iv: the voyage home 3 stars favourite,movie,Star Trek IV: The Voyage Home,6,True,PT0M
film he's just not that into you 6/10 16h ago,movie,He's Just Not That Into You,6,False,-PT16H
saw interstellar 8,movie,Interstellar,8,False,PT0M
saw state of play 4 stars 9 hours ago,movie,State of Play,8,False,-PT9H
watched trial and error 2 stars,movie,Trial and Error,4,False,PT0M
saw pixels 4,movie,Pixels,4,False,PT0M
film eraser 6/10,movie,Eraser,6,False,PT0M
