date,title,category,account,amount,currency,type,transfer_amount,transfer_currency,to_account,receive_amount,receive_currency
2024-08-11 13:56:59.652,person_a,other,Savings Bank,0.5,EUR,expense,,,,,
2024-08-10 16:09:55.986,Juice,food_drink,Cash,0.44,EUR,expense,,,,,
2024-08-09 10:25:21.618,Tire,vehicle_maintenance,Cash,6.85,MKD,expense,,,,,
2024-08-07 03:57:24.944,family_member_a,peer_transfer,Savings Bank,2.22,EUR,expense,,,,,
2024-08-04 13:09:08.452,Reward,rewards,Salary Bank,0.04,EUR,income,,,,,
2024-08-04 13:07:41.831,family_member_a,peer_transfer,Savings Bank,5.56,EUR,expense,,,,,
2024-08-02 15:25:39.300,Grocery,groceries,Salary Bank,0.33,EUR,expense,,,,,
2024-08-02 05:25:11.454,Petrol,fuel,Savings Bank,1.11,EUR,expense,,,,,
2024-08-02 03:58:59.121,Adjust balance,balance_adjustment,Cash,0.82,EUR,expense,,,,,
2024-08-02 03:56:52.237,Adjust balance,balance_adjustment,Savings Bank,1.23,USD,expense,,,,,
2024-08-01 13:47:08.112,Haircut,personal_care,Savings Bank,1.69,EUR,expense,,,,,
2024-08-01 13:46:53.758,family_member_a,peer_transfer,Savings Bank,5.56,EUR,expense,,,,,
2024-07-31 14:34:25.800,Print,education,Savings Bank,0.24,EUR,expense,,,,,
2024-07-31 13:49:37.981,License,financial,Savings Bank,3.33,EUR,expense,,,,,
2024-07-26 14:48:03.223,Noodles,food_drink,Savings Bank,0.78,EUR,expense,,,,,
2024-07-20 04:54:12.554,Adjust balance,balance_adjustment,Savings Bank,0,USD,income,,,,,
2024-07-20 04:53:54.600,Breakfast,food_drink,Cash,0.33,EUR,expense,,,,,
2024-07-20 04:53:37.992,family_member_b,peer_transfer,Cash,0.56,EUR,expense,,,,,
2024-07-15 16:02:44.240,Adjust balance,balance_adjustment,Cash,2.05,MKD,expense,,,,,
2024-07-15 08:50:27.789,Rent,housing,Savings Bank,42.22,EUR,expense,,,,,
2024-07-14 14:26:20.654,Grocery,groceries,Cash,1.9,EUR,expense,,,,,
2024-07-14 14:26:07.147,Grocery,groceries,Cash,1,EUR,expense,,,,,
2024-07-12 15:51:37.276,Adjust balance,balance_adjustment,Salary Bank,0.46,EUR,income,,,,,
2024-07-12 15:50:33.462,family_member_a,peer_transfer,Savings Bank,3.33,EUR,expense,,,,,
2024-07-12 15:49:26.564,Adjust balance,balance_adjustment,Cash,0.56,EUR,expense,,,,,
2024-07-10 08:46:15.659,family_member_b,peer_transfer,Cash,0.56,EUR,expense,,,,,
2024-07-10 08:45:59.387,Breakfast,food_drink,Cash,0.33,EUR,expense,,,,,
2024-07-07 05:17:18.519,Breakfast,food_drink,Salary Bank,0.33,EUR,expense,,,,,
2024-07-03 16:49:38.345,Netflix,entertainment,Savings Bank,2.21,EUR,expense,,,,,
2024-07-03 08:20:57.694,family_member_a,peer_transfer,Savings Bank,2.22,EUR,expense,,,,,
2024-07-02 09:04:42.442,Lunch,food_drink,Cash,1.33,EUR,expense,,,,,
2024-07-01 14:37:19.760,family_member_a,peer_transfer,Savings Bank,6.02,USD,expense,,,,,
2024-07-01 14:37:10.673,Recharge,utilities,Savings Bank,2.88,EUR,expense,,,,,
2024-07-01 12:52:37.467,Printouts,education,Salary Bank,0.14,EUR,expense,,,,,
2024-07-01 12:27:47.375,Printouts,education,Cash,0.51,USD,expense,,,,,
2024-06-30 15:25:49.013,Biryani 🍚,food_drink,Savings Bank,6.27,USD,expense,,,,,
2024-06-30 15:25:39.318,Breakfast,food_drink,Salary Bank,0.67,EUR,expense,,,,,
2024-06-30 03:06:51.000,family_member_a,peer_transfer,Savings Bank,22.22,EUR,expense,,,,,
2024-06-30 01:53:16.946,Adjust balance,balance_adjustment,Savings Bank,0.79,EUR,income,,,,,
2024-06-29 17:30:41.555,Juice,food_drink,Cash,13.7,MKD,expense,,,,,
2024-06-29 17:30:35.612,Cab,transport,Cash,2,EUR,expense,,,,,
2024-06-29 04:07:00.354,Snacks,food_drink,Cash,0.33,EUR,expense,,,,,
2024-06-29 04:06:02.094,Chai,food_drink,Cash,0.22,EUR,expense,,,,,
2024-06-29 01:51:00.000,Recharge,utilities,Savings Bank,2.97,EUR,expense,,,,,
2024-06-28 14:15:00.814,Curd,food_drink,Cash,0.28,EUR,expense,,,,,
2024-06-28 12:13:37.896,Adjust balance,balance_adjustment,Cash,0.36,USD,expense,,,,,
2024-06-28 12:12:54.777,Tea,food_drink,Cash,0.11,EUR,expense,,,,,
2024-06-28 08:03:54.409,Water,food_drink,Cash,6.85,MKD,expense,,,,,
2024-06-28 01:21:47.390,Adjust balance,balance_adjustment,Cash,3.98,EUR,expense,,,,,
2024-06-27 14:46:47.643,Water,food_drink,Cash,0.48,USD,expense,,,,,
2024-06-27 14:46:14.704,Bus,transport,Cash,0.24,USD,expense,,,,,
2024-06-27 14:45:25.041,Metro,transport,Cash,0.22,EUR,expense,,,,,
2024-06-27 14:44:58.599,Haldiram,food_drink,Cash,2.49,USD,expense,,,,,
2024-06-27 14:43:37.895,Tickets victoria,entertainment,Cash,1.11,EUR,expense,,,,,
2024-06-27 14:43:17.268,Lunch,food_drink,Cash,1.06,EUR,expense,,,,,
2024-06-27 14:42:56.410,Ferry,transport,Cash,0.56,EUR,expense,,,,,
2024-06-27 14:42:45.061,family_member_a,peer_transfer,Cash,5.56,EUR,expense,,,,,
2024-06-27 14:42:09.168,Museum,entertainment,Savings Bank,1.67,EUR,expense,,,,,
2024-06-27 14:35:22.527,Bus,transport,Cash,13.7,MKD,expense,,,,,
2024-06-27 14:33:37.949,Metro,transport,Salary Bank,0.11,EUR,expense,,,,,
2024-06-27 13:24:27.059,Grocery,groceries,Cash,2.22,EUR,expense,,,,,
2024-06-27 02:20:46.881,Withdraw,transfer,Salary Bank,27.78,EUR,transfer,27.78,EUR,Cash,27.78,EUR
2024-06-26 16:20:10.049,Cab,transport,Salary Bank,2.22,EUR,expense,,,,,
2024-06-26 14:34:00.000,Train,transport,Salary Bank,0.22,EUR,expense,,,,,
2024-06-24 01:42:02.212,Tickets,entertainment,Salary Bank,0.22,EUR,expense,,,,,
2024-06-23 15:49:22.486,family_member_b stuff,peer_transfer,Salary Bank,2.67,EUR,expense,,,,,
2024-06-23 15:26:55.087,Toto,transport,Salary Bank,0.22,EUR,expense,,,,,
2024-06-23 15:20:07.076,Snacks,food_drink,Salary Bank,0.78,EUR,expense,,,,,
2024-06-23 15:18:18.631,Adjust balance,balance_adjustment,Salary Bank,1.13,EUR,expense,,,,,
2024-06-23 14:44:54.072,Snacks,food_drink,Salary Bank,0.49,EUR,expense,,,,,
2024-06-23 08:19:55.534,Shaka pola,other,Salary Bank,7.23,USD,expense,,,,,
2024-06-21 15:16:00.000,Tickets,entertainment,Salary Bank,27.4,MKD,expense,,,,,
