input,transactionType,amount,currency,category,description,timeOffset,fromAccount,toAccount
person_a -0.5€ 28d ago,expense,0.5,EUR,other,person_a,-P28D,,
juice 0.44€,expense,0.44,EUR,food_drink,Juice,PT0M,,
tire 6.85 ден,expense,6.85,MKD,vehicle_maintenance,Tire,PT0M,,
spent 2.22e family_member_a -21h,expense,2.22,EUR,peer_transfer,family_member_a,-PT21H,,
+0.04€ reward,income,0.04,EUR,rewards,Reward,PT0M,,
family_member_a -5.56€,expense,5.56,EUR,peer_transfer,family_member_a,PT0M,,
grocery -€0.33 26d ago,expense,0.33,EUR,groceries,Grocery,-P26D,,
petrol -1.11 eur 8d ago,expense,1.11,EUR,fuel,Petrol,-P8D,,
adjust balance -€0.82,expense,0.82,EUR,balance_adjustment,Adjust balance,PT0M,,
spent 1.23 USD adjust balance,expense,1.23,USD,balance_adjustment,Adjust balance,PT0M,,
haircut -€1.69,expense,1.69,EUR,personal_care,Haircut,PT0M,,
family_member_a €5.56 -22d,expense,5.56,EUR,peer_transfer,family_member_a,-P22D,,
spent 0.24 eur print,expense,0.24,EUR,education,Print,PT0M,,
license -€3.33 -2h,expense,3.33,EUR,financial,License,-PT2H,,
noodles -0.78 eur,expense,0.78,EUR,food_drink,Noodles,PT0M,,
breakfast 0.33 eur,expense,0.33,EUR,food_drink,Breakfast,PT0M,,
spent 0.56 eur family_member_b,expense,0.56,EUR,peer_transfer,family_member_b,PT0M,,
adjust balance -2.05 MKD,expense,2.05,MKD,balance_adjustment,Adjust balance,PT0M,,
rent -€42.22 20d ago,expense,42.22,EUR,housing,Rent,-P20D,,
spent 1.9e grocery in 1d,expense,1.9,EUR,groceries,Grocery,P1D,,
grocery 1e,expense,1,EUR,groceries,Grocery,PT0M,,
+0.46€ adjust balance,income,0.46,EUR,balance_adjustment,Adjust balance,PT0M,,
spent 3.33 eur family_member_a,expense,3.33,EUR,peer_transfer,family_member_a,PT0M,,
adjust balance 0.56€,expense,0.56,EUR,balance_adjustment,Adjust balance,PT0M,,
family_member_b -€0.56 18 hours ago,expense,0.56,EUR,peer_transfer,family_member_b,-PT18H,,
breakfast -€0.33 -3d,expense,0.33,EUR,food_drink,Breakfast,-P3D,,
breakfast 0.33€,expense,0.33,EUR,food_drink,Breakfast,PT0M,,
netflix 2.21€ -4d,expense,2.21,EUR,entertainment,Netflix,-P4D,,
family_member_a -2.22€ in 1d,expense,2.22,EUR,peer_transfer,family_member_a,P1D,,
spent 1.33 eur lunch -11h,expense,1.33,EUR,food_drink,Lunch,-PT11H,,
family_member_a -6.02 USD,expense,6.02,USD,peer_transfer,family_member_a,PT0M,,
recharge 2.88 eur -29d,expense,2.88,EUR,utilities,Recharge,-P29D,,
