"activityName","averageHeartRate","calories","distance","distanceUnit","duration","elevationGain","pace","poolLength","poolLengthUnit","speed","steps","swimLengths"
"Walk",94,192,,,1331000,24.38,,,,,1878,
"Walk",94,302,,,2202000,27.43,,,,,2786,
"Walk",98,354,,,2458000,21.34,,,,,3035,
"Walk",97,145,,,1024000,21.34,,,,,1284,
"Walk",93,121,,,973000,3.05,,,,,1065,
"Run",144,396,3.85,"Kilometer",1465000,38.41,385.36,,,9.34,3901,
"Walk",97,252,,,1844000,24.38,,,,,2094,
"Walk",97,454,,,3123000,64.01,,,,,4185,
"Walk",106,470,,,2867000,30.48,,,,,4698,
"Run",146,339,3.45,"Kilometer",1264000,12.5,370.62,,,9.71,3384,
"Walk",88,104,,,922000,3.05,,,,,867,
"Walk",101,292,,,1997000,21.34,,,,,2303,
"Sport",119,633,,,3175000,,,,,,3915,
"Walk",97,195,,,1485000,21.34,,,,,1524,
"Walk",114,221,,,1126000,0,,,,,2152,
"Walk",113,248,,,1229000,39.62,,,,,2265,
"Walk",98,351,,,2560000,42.67,,,,,2761,
"Walk",106,173,,,973000,30.48,,,,,1373,
"Sport",96,141,,,1126000,,,,,,780,
"Walk",110,166,,,921000,24.38,,,,,1332,
"Walk",104,338,,,2202000,60.96,,,,,2395,
"Treadmill",127,639,3.09,"Kilometer",3155000,285.29,,,,3.53,3288,
"Walk",98,139,,,973000,3.05,,,,,1164,
"Walk",96,159,,,1178000,0,,,,,1267,
"Sport",119,1122,,,5786000,,,,,,7252,
"Walk",100,135,,,922000,21.34,,,,,1093,
"Walk",98,127,,,973000,3.05,,,,,986,
"Walk",98,145,,,1024000,3.05,,,,,1232,
"Walk",102,864,,,5428000,91.44,,,,,7789,
"Run",141,461,3.99,"Kilometer",1810000,349.3,461.55,,,7.8,3981,
"Walk",106,575,,,3584000,48.77,,,,,4675,
"Walk",107,240,,,1383000,33.53,,,,,2167,
"Walk",100,200,,,1332000,6.1,,,,,1825,
"Treadmill",126,93,0.96,"Kilometer",434000,0,,,,8.05,959,
"Treadmill",157,539,4.44,"Kilometer",1792000,364.24,,,,9.02,4526,
"Walk",87,214,,,1536000,30.48,,,,,2243,
"Walk",89,137,,,1025000,27.43,,,,,1429,
"Walk",99,166,,,1025000,33.53,,,,,1599,
"Sport",117,853,,,4403000,,,,,,5397,
"Walk",85,109,,,922000,3.05,,,,,991,
"Walk",92,203,,,1383000,18.29,,,,,1868,
"Walk",91,274,,,2202000,33.53,,,,,2188,
"Walk",87,128,,,973000,12.19,,,,,1076,
"Walk",102,172,,,1178000,9.14,,,,,1468,
"Walk",89,337,,,2714000,36.58,,,,,3183,
"Treadmill",140,630,5.61,"Kilometer",2420000,71.02,,,,8.37,5727,
"Walk",99,164,,,1127000,24.38,,,,,1415,
"Sport",112,729,,,4301000,,,,,,4841,
"Walk",101,159,,,1024000,24.38,,,,,1398,
"Walk",96,172,,,1127000,30.48,,,,,1620,
"Sport",85,112,,,1229000,,,,,,446,
"Walk",92,156,,,1178000,33.53,,,,,1530,
"Walk",98,165,,,1126000,24.38,,,,,1559,
"Walk",101,181,,,1178000,30.48,,,,,1618,
"Walk",98,172,,,1126000,9.14,,,,,1660,
"Walk",104,204,,,1331000,15.24,,,,,1906,
"Walk",89,151,,,1229000,3.05,,,,,1162,
"Walk",101,188,,,1229000,12.19,,,,,1708,
"Walk",97,243,,,1639000,27.43,,,,,2175,
"Walk",96,177,,,1229000,12.19,,,,,1633,
"Walk",100,574,,,3738000,57.91,,,,,5543,
"Walk",93,328,,,2560000,27.43,,,,,3098,
"Walk",96,157,,,1076000,3.05,,,,,1491,
"Walk",106,183,,,1075000,27.43,,,,,1669,
"Walk",94,184,,,1331000,0,,,,,1603,
"Walk",109,219,,,1280000,36.58,,,,,1877,
"Walk",103,237,,,1737000,39.62,,,,,2272,
"Walk",103,325,,,1997000,51.82,,,,,3233,
"Walk",86,173,,,1536000,0,,,,,1447,
"Walk",102,282,,,1792000,36.58,,,,,2725,
"Walk",102,189,,,1229000,0,,,,,1731,
"Walk",97,306,,,2151000,30.48,,,,,2756,
"Walk",100,875,,,5889000,88.39,,,,,8348,
