input,activityName,averageHeartRate,kcal,distance,distanceUnit,duration,elevationGain,pace,poolLength,poolLengthUnit,speed,steps,swimLengths
walk 192kcal 22.2min 94bpm,Walk,94,192,,,1332000,,,,,,,
walk kcal302 2202sec hr94,Walk,94,302,,,2202000,,,,,,,
walk min41 21.34m gain 3035 steps 354kcal 98b,Walk,98,354,,,2460000,21.34,,,,,3035,
walk 17 min 145kcal 21.34m gain 97bpm,Walk,97,145,,,1020000,21.34,,,,,,
walk 3.05m gain 1065steps 16.2 b93 121kcal,Walk,93,121,,,972000,3.05,,,,,1065,
run hr144 3901 steps sec1465 3.85 km,Run,144,,3.85,km,1465000,,380.52,,,9.46,3901,
walk 2.09ksteps b97 +24.38m 30.7 kcal252,Walk,97,252,,,1842000,24.38,,,,,2090,
walk kcal454 steps4185 52min 3sec,Walk,,454,,,3123000,,,,,,4185,
walk 47min 47sec step4698 kcal470 bpm106,Walk,106,470,,,2867000,,,,,,4698,
run 21m4s 146 bpm 339kcal k3.45,Run,146,339,3.45,km,1264000,,366.38,,,9.83,,
walk kcal104 867 steps 88b 922s up3.05m,Walk,88,104,,,922000,3.05,,,,,867,
walk kcal292 33.3 101 bpm step2303,Walk,101,292,,,1998000,,,,,,2303,
sport 3915steps 119b 52.9min 633kcal,Sport,119,633,,,3174000,,,,,,3915,
walk b97 kcal195 24.8min 21.34m gain steps1524,Walk,97,195,,,1488000,21.34,,,,,1524,
walk 18min 46sec kcal221 b114 step2152,Walk,114,221,,,1126000,,,,,,2152,
walk gain39.62m min20 kcal248,Walk,,248,,,1200000,39.62,,,,,,
walk bpm98 min43 2.76k steps elev42.67m,Walk,98,,,,2580000,42.67,,,,,2760,
walk min16 avg106,Walk,106,,,,960000,,,,,,,
sport 18.8 780 steps kcal141,Sport,,141,,,1128000,,,,,,780,
walk kcal166 15m21s b110,Walk,110,166,,,921000,,,,,,,
walk step2395 sec2202 kcal338 104hr,Walk,104,338,,,2202000,,,,,,2395,
treadmill gain285.29m 3155sec k3.09 639kcal,Treadmill,,639,3.09,km,3155000,285.29,1021.04,,,3.53,,
walk 16.2min 98hr up3.05m 139kcal steps1.16k,Walk,98,139,,,972000,3.05,,,,,1160,
walk 1.27ksteps 19min 38sec kcal159 hr96,Walk,96,159,,,1178000,,,,,,1270,
sport 119bpm kcal1122 96min,Sport,119,1122,,,5760000,,,,,,,
walk 1093 steps sec922 gain21.34m 135kcal,Walk,,135,,,922000,21.34,,,,,1093,
walk 986 steps 127kcal 16.2 elev3.05m,Walk,,127,,,972000,3.05,,,,,986,
walk steps1232 kcal145 98bpm 3.05m gain 17 min,Walk,98,145,,,1020000,3.05,,,,,1232,
walk 5428sec hr102 91.44m gain 864kcal,Walk,102,864,,,5428000,91.44,,,,,,
run elev349.3m hr141 1810sec 3990m 461kcal step3981,Run,141,461,3.99,km,1810000,349.3,453.63,,,7.94,3981,
walk 4.68ksteps 59.7min 575kcal,Walk,,575,,,3582000,,,,,,4680,
walk 23min 3sec 240kcal 2167steps,Walk,,240,,,1383000,,,,,,2167,
walk 100b 22m12s,Walk,100,,,,1332000,,,,,,,
treadmill 959steps b126 0.96km,Treadmill,126,,0.96,km,,,,,,,959,
treadmill m4440 hr157 1792s 539kcal,Treadmill,157,539,4.44,km,1792000,,403.6,,,8.92,,
walk 214kcal 87hr 25m36s,Walk,87,214,,,1536000,,,,,,,
walk 17 min 137kcal 89b,Walk,89,137,,,1020000,,,,,,,
walk 17min 5sec 166kcal elev33.53m avg99 step1599,Walk,99,166,,,1025000,33.53,,,,,1599,
sport 5397steps kcal853 117b 73.4min,Sport,117,853,,,4404000,,,,,,5397,
walk 991 steps 15m22s 109kcal 85hr,Walk,85,109,,,922000,,,,,,991,
walk +18.29m hr92 1868steps 23.1 203kcal,Walk,92,203,,,1386000,18.29,,,,,1868,
walk kcal274 min37 2188 steps avg91,Walk,91,274,,,2220000,,,,,,2188,
walk 1076 steps 87b 16.2min up12.19m,Walk,87,,,,972000,12.19,,,,,1076,
walk 20min step1468 bpm102 172kcal,Walk,102,172,,,1200000,,,,,,1468,
