input,itemsJson,totalKcal,mealType,timeOffset
15 gr raw english walnut halves + raspberries 150 grams ln -21d,"[{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102},{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77}]",179,late_night,-P21D
100 g raspberries + raw peanuts 30 grams breakfast 17d ago,"[{""name"":""raspberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":51},{""name"":""peanuts, raw"",""quantity"":30,""unit"":""g"",""kcal"":165}]",216,breakfast,-P17D
150 grams red delicious apple + 20g whole raw almonds late night,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":150,""unit"":""g"",""kcal"":93},{""name"":""nuts, almonds, whole, raw"",""quantity"":20,""unit"":""g"",""kcal"":117}]",210,late_night,PT0M
ate 2 pieces cooked skinless boneless chicken breast + raw roma tomato 150 grams lunch,"[{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":2,""unit"":""piece"",""kcal"":578},{""name"":""tomato, roma"",""quantity"":150,""unit"":""g"",""kcal"":28}]",606,lunch,PT0M
ate strawberries 150 grams + raw peanuts 15g snack 5h ago,"[{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47},{""name"":""peanuts, raw"",""quantity"":15,""unit"":""g"",""kcal"":83}]",130,snack,-PT5H
ate 2% milk cup1 + raspberries g200 6h ago,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":114},{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103}]",217,unknown,-PT6H
piece1 cooked skinless boneless chicken breast + raw romaine lettuce 150g dinner tmr,"[{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":1,""unit"":""piece"",""kcal"":289},{""name"":""lettuce, romaine, green, raw"",""quantity"":150,""unit"":""g"",""kcal"":26}]",315,dinner,P1D
whole raw almonds g30 + 200 grams red delicious apple,"[{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175},{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124}]",299,unknown,PT0M
g100 raspberries + raw english walnut halves g20 bf 25d ago,"[{""name"":""raspberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":51},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136}]",187,breakfast,-P25D
ate blueberries 100 g + whole raw almonds g20 8h ago,"[{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57},{""name"":""nuts, almonds, whole, raw"",""quantity"":20,""unit"":""g"",""kcal"":117}]",174,unknown,-PT8H
200 gr strawberries + whole raw almonds 20 g snack -21h,"[{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62},{""name"":""nuts, almonds, whole, raw"",""quantity"":20,""unit"":""g"",""kcal"":117}]",179,snack,-PT21H
ate strawberries 200g + raw english walnut halves g20,"[{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136}]",198,unknown,PT0M
ate raw cucumber with peel 50 gr + 150 grams cooked meat-only chicken drumstick 4h ago,"[{""name"":""cucumber, with peel, raw"",""quantity"":50,""unit"":""g"",""kcal"":7},{""name"":""chicken, broilers or fryers, drumstick, meat only, cooked, braised"",""quantity"":150,""unit"":""g"",""kcal"":234}]",241,unknown,-PT4H
2% milk cup1 + red delicious apple 100 grams -22h,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":1,""unit"":""cup"",""kcal"":114},{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62}]",176,unknown,-PT22H
blueberries 200 g + whole raw almonds 20 grams breakfast,"[{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115},{""name"":""nuts, almonds, whole, raw"",""quantity"":20,""unit"":""g"",""kcal"":117}]",232,breakfast,PT0M
ate 100 g red delicious apple + raw english walnut halves 15g snack -2h,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102}]",164,snack,-PT2H
red delicious apple g100 + raw peanuts 20 g 172 cal snack,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",172,snack,PT0M
ate 100 grams red delicious apple + 20g raw english walnut halves late night,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136}]",198,late_night,PT0M
raspberries g150 + raw peanuts 15 g 3d ago,"[{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""peanuts, raw"",""quantity"":15,""unit"":""g"",""kcal"":83}]",160,unknown,-P3D
cooked skinless boneless chicken breast piece2 + raw cucumber with peel 50 g dinner 23d ago,"[{""name"":""chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"",""quantity"":2,""unit"":""piece"",""kcal"":578},{""name"":""cucumber, with peel, raw"",""quantity"":50,""unit"":""g"",""kcal"":7}]",585,dinner,-P23D
2% milk 2 cups + 150 grams red delicious apple snack,"[{""name"":""milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d"",""quantity"":2,""unit"":""cup"",""kcal"":227},{""name"":""apples, red delicious, with skin, raw"",""quantity"":150,""unit"":""g"",""kcal"":93}]",320,snack,PT0M
red delicious apple 150g + 15 grams whole raw almonds late night -7h,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":150,""unit"":""g"",""kcal"":93},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",181,late_night,-PT7H
